date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d
2026-01-12,4780,4850,4720,4770,118384500,0,0,0
2026-01-13,4800,4840,4780,4820,93419500,0,0,0
2026-01-14,4840,4850,4770,4840,114314800,0,0,0
2026-01-15,4840,5075,4830,4990,245024400,0,0,0
2026-01-19,5025,5100,4980,5000,197645100,0,0,0
2026-01-20,5000,5075,4990,5025,93803800,0,0,0
2026-01-21,5025,5025,4930,4990,117548600,0,0,0
2026-01-22,4990,5025,4930,4980,145002200,0,0,0
2026-01-23,4980,5000,4870,4990,116237200,0,0,0
2026-01-26,4910,4970,4870,4910,225443300,0,0,0
2026-01-27,4860,4910,4800,4810,160620600,0,0,0
2026-01-28,4570,4810,4410,4560,643802800,0,0,0
2026-01-29,4420,4640,4070,4630,907054600,0,0,0
2026-01-30,4700,4880,4630,4820,343393600,0,0,0
2026-02-02,4900,4920,4710,4800,290622800,0,0,0
2026-02-03,4830,4850,4710,4830,169775800,0,0,0
2026-02-04,4860,5025,4830,5000,232816800,0,0,0
2026-02-05,5050,5100,5000,5050,209505400,0,0,0
2026-02-06,4950,5050,4890,5050,278775900,0,0,0
2026-02-09,5050,5075,4950,5000,177079900,0,0,0
2026-02-10,5000,5100,4990,5100,177110700,0,0,0
2026-02-11,5075,5100,4990,5025,201135900,0,0,0
2026-02-12,5025,5075,5000,5075,121407500,0,0,0
2026-02-13,5050,5075,4970,5075,157236900,0,0,0
2026-02-14,4724,4725,4718,4720,2284313,0,0,0
2026-02-15,4717,4732,4706,4712,522250,0,0,0
2026-02-16,4711,4716,4711,4712,1103866,0,0,0
2026-02-17,4679,4685,4669,4680,129996,0,0,0
2026-02-18,5075,5275,5050,5275,212076100,0,0,0
2026-02-19,5275,5300,5050,5075,133827800,0,0,0
2026-02-20,5100,5175,5050,5125,88563800,0,0,0
2026-02-21,4658,4667,4642,4656,3614700,0,0,0
2026-02-22,4623,4641,4621,4632,2473578,0,0,0
2026-02-23,5150,5275,5150,5275,131077800,0,0,0
2026-02-24,5275,5375,5250,5375,203553200,0,0,0
2026-02-25,5350,5375,5300,5300,147700600,0,0,0
2026-02-26,5350,5350,5200,5325,120621100,0,0,0
2026-02-27,5325,5350,5275,5275,206461200,0,0,0
2026-02-28,4664,4684,4660,4678,4916680,0,0,0
2026-03-01,4643,4668,4642,4660,3356229,0,0,0
2026-03-02,5125,5175,5050,5075,168721700,0,0,0
2026-03-03,5100,5175,5050,5100,106384700,0,0,0
2026-03-04,5050,5075,4870,4980,294487200,0,0,0
2026-03-05,5025,5125,5000,5125,133690000,0,0,0
2026-03-06,5075,5100,4950,4980,127625100,0,0,0
2026-03-07,4661,4688,4649,4677,4159572,0,0,0
2026-03-08,4610,4624,4607,4620,3311584,0,0,0
2026-03-09,4800,4870,4780,4820,217673200,0,0,0
2026-03-10,4920,4990,4860,4910,124581800,0,0,0
2026-03-11,4930,4970,4880,4880,86606500,0,0,0
2026-03-12,4870,4980,4870,4960,85989900,0,0,0
2026-03-13,4900,4920,4750,4750,187462500,0,0,0
2026-03-14,4649,4651,4627,4632,3675397,0,0,0
2026-03-15,4648,4658,4637,4647,4352949,0,0,0
2026-03-16,4730,4740,4630,4700,149035900,0,0,0
2026-03-17,4750,4780,4710,4730,274977700,0,0,0
2026-03-18,4678,4688,4665,4680,2369815,0,0,0
2026-03-19,4682,4698,4669,4686,3766616,0,0,0
2026-03-20,4703,4709,4700,4705,4543516,0,0,0
2026-03-21,4615,4627,4606,4620,809580,0,0,0
2026-03-22,4630,4646,4618,4631,1807832,0,0,0
2026-03-23,4646,4646,4628,4637,758860,0,0,0
2026-03-24,4676,4678,4662,4666,1561436,0,0,0
2026-03-25,4650,4970,4650,4970,389331300,0,0,0
2026-03-26,4970,4980,4840,4840,120735200,0,0,0
2026-03-27,4840,4870,4760,4760,73158700,0,0,0
2026-03-28,4633,4642,4630,4642,4265491,0,0,0
2026-03-29,4712,4717,4709,4709,639584,0,0,0
2026-03-30,4710,4750,4690,4700,110819500,0,0,0
2026-03-31,4710,4790,4700,4720,184777500,0,0,0
2026-04-01,4800,4830,4680,4720,162832600,0,0,0
2026-04-02,4720,4730,4640,4650,109496300,0,0,0
2026-04-03,4652,4672,4644,4659,3213018,0,0,0
2026-04-04,4664,4666,4659,4664,4736109,0,0,0
2026-04-05,4603,4620,4599,4620,2538520,0,0,0
2026-04-06,4650,4700,4600,4610,60887500,0,0,0
2026-04-07,4600,4610,4500,4510,190831700,0,0,2
2026-04-08,4670,4700,4630,4670,169872400,0,0,0
2026-04-09,4650,4650,4570,4570,128431200,0,0,3
2026-04-10,4580,4700,4580,4670,103583800,0,0,1
2026-04-11,4580,4700,4580,4670,103583800,0.79,0.79,1
