date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d
2026-01-12,468,472,394,436,9759299800,0,0,0
2026-01-13,436,448,396,406,9716507600,0,0,0
2026-01-14,414,434,410,422,6113687100,0,0,0
2026-01-15,426,428,404,410,4173617100,0,0,0
2026-01-19,410,412,390,412,6004590000,0,0,0
2026-01-20,432,440,414,414,9992920600,0,0,0
2026-01-21,408,408,380,386,8369517000,0,0,0
2026-01-22,390,396,346,348,11300872300,0,0,0
2026-01-23,350,364,330,360,9715093500,0,0,0
2026-01-26,358,368,332,332,8341641400,0,0,0
2026-01-27,336,346,328,344,5796234400,0,0,0
2026-01-28,294,294,294,294,2063059700,0,0,0
2026-01-29,250,282,250,250,24522161400,0,0,0
2026-01-30,258,272,246,258,10768790900,0,0,0
2026-02-02,260,264,220,220,12444107400,0,0,0
2026-02-03,212,266,198,264,13881927300,0,0,0
2026-02-04,258,266,240,246,9402318400,0,0,0
2026-02-05,242,256,240,240,4278275700,0,0,0
2026-02-06,232,238,218,226,6515359700,0,0,0
2026-02-09,236,244,224,240,5917512800,0,0,0
2026-02-10,238,264,236,248,10011575000,0,0,0
2026-02-11,252,286,252,272,15389213700,0,0,0
2026-02-12,280,282,266,270,7425236700,0,0,0
2026-02-13,264,296,262,292,11232277200,0,0,0
2026-02-18,292,298,284,284,10336439600,0,0,0
2026-02-19,286,306,286,300,9628948200,0,0,0
2026-02-20,302,306,292,294,3790944800,0,0,0
2026-02-23,300,306,294,296,4008241200,0,0,0
2026-02-24,296,298,270,274,8768902000,0,0,0
2026-02-25,270,282,262,270,6672829400,0,0,0
2026-02-26,274,278,252,258,6083786000,0,0,0
2026-02-27,258,260,244,258,4853064000,0,0,0
2026-03-02,252,266,246,248,5332814900,0,0,0
2026-03-03,258,262,248,252,4765414000,0,0,0
2026-03-04,256,256,226,234,7871045500,0,0,0
2026-03-05,246,248,238,240,3410343700,0,0,0
2026-03-06,240,244,226,230,3885133200,0,0,0
2026-03-09,214,226,200,220,6510531900,0,0,0
2026-03-10,230,240,228,240,5461317400,0,0,0
2026-03-11,242,244,226,226,2994827600,0,0,0
2026-03-12,226,228,216,218,3743282000,0,0,0
2026-03-13,220,220,206,210,4126257700,0,0,0
2026-03-16,214,214,202,204,3325002300,0,0,0
2026-03-17,208,212,202,206,2059278600,0,0,0
2026-03-25,208,232,206,226,4993415800,0,0,0
2026-03-26,228,232,214,214,3841879100,0,0,0
2026-03-27,214,220,210,214,1993219700,0,0,0
2026-03-30,214,228,206,226,3307221900,0,0,0
2026-03-31,230,234,216,216,3102922800,0,0,0
2026-04-01,224,238,222,238,4232886000,0,0,0
2026-04-02,232,234,226,228,3239932500,0,0,0
2026-04-06,228,250,228,242,6099108000,0,0,0
2026-04-07,242,246,234,236,2937748500,0,0,0
2026-04-08,246,254,244,252,7028235400,0,0,0
2026-04-09,248,250,240,244,3231004700,0,0,0
2026-04-10,246,254,246,246,3723636000,0,0,1
